timestamp,resource_type,container_count,iteration,cpu_percent,memory_mb,cpu_ratio_system,mem_ratio_system
1782923320.790545153,compression,1,15,2.93,70.832,0.1221,0.0752
1782923321.816184571,compression,1,15,0.00,70.832,0.0000,0.0752
1782923326.178566176,compression,1,16,2.93,70.8164,0.1221,0.0752
1782923327.204250685,compression,1,16,0.00,70.8164,0.0000,0.0752
1782923331.406426422,compression,1,17,1.95,70.8398,0.0813,0.0752
1782923332.431367704,compression,1,17,0.98,70.8398,0.0408,0.0752
1782923336.691026134,compression,1,18,1.95,70.6641,0.0813,0.0751
1782923337.715056517,compression,1,18,0.98,70.8164,0.0408,0.0752
1782923341.728050422,compression,1,19,2.93,70.8242,0.1221,0.0752
1782923342.753659917,compression,1,19,0.00,70.8242,0.0000,0.0752
1782923346.671760839,compression,1,20,2.93,70.8359,0.1221,0.0752
1782923347.695867579,compression,1,20,0.00,70.8359,0.0000,0.0752
1782923351.940905259,compression,1,21,1.95,70.8359,0.0813,0.0752
1782923352.966136990,compression,1,21,0.98,70.8359,0.0408,0.0752
1782923357.251689183,compression,1,22,1.95,70.8242,0.0813,0.0752
1782923358.276843597,compression,1,22,1.95,70.8242,0.0813,0.0752
1782923362.839550495,compression,1,23,1.95,70.8398,0.0813,0.0752
1782923363.863796534,compression,1,23,0.00,70.8398,0.0000,0.0752
1782923368.133329537,compression,1,24,2.93,70.832,0.1221,0.0752
1782923369.158646636,compression,1,24,0.00,70.832,0.0000,0.0752
1782923373.520321927,compression,1,25,1.95,70.832,0.0813,0.0752
1782923374.545461230,compression,1,25,0.98,70.832,0.0408,0.0752
1782923378.779190253,compression,1,26,2.93,70.8203,0.1221,0.0752
1782923379.804616220,compression,1,26,0.00,70.8203,0.0000,0.0752
1782923383.816849382,compression,1,27,2.93,70.8164,0.1221,0.0752
1782923384.841505991,compression,1,27,0.00,70.8164,0.0000,0.0752
1782923389.074091398,compression,1,28,1.95,70.8008,0.0813,0.0752
1782923390.099446187,compression,1,28,1.95,70.8008,0.0813,0.0752
1782923394.271152168,compression,1,29,2.93,70.8438,0.1221,0.0753
1782923395.296369125,compression,1,29,0.00,70.8438,0.0000,0.0753
1782923399.608443738,compression,1,30,1.95,70.8242,0.0813,0.0752
1782923400.633932430,compression,1,30,0.00,70.8242,0.0000,0.0752
