cgroup_id,resource_type,container_count,iteration,t_e2e_ms,with_puretime
436393,block_io,8,2,5543,true
436567,block_io,8,2,7211,true
436654,block_io,8,2,6862,true
436741,block_io,8,2,7178,true
436915,block_io,8,2,6591,true
437002,block_io,8,2,6181,true
437176,block_io,8,3,5018,false
437263,block_io,8,3,6859,false
437350,block_io,8,3,5059,false
437524,block_io,8,3,6327,false
437611,block_io,8,3,5338,false
437698,block_io,8,3,8086,false
437872,block_io,8,3,6734,false
437959,block_io,8,3,4929,false
438133,block_io,8,3,4537,true
438220,block_io,8,3,6788,true
438307,block_io,8,3,5769,true
438481,block_io,8,3,6000,true
438568,block_io,8,3,5706,true
438655,block_io,8,3,6792,true
438829,block_io,8,3,4828,true
438916,block_io,8,3,6642,true
439003,block_io,8,4,4062,false
439177,block_io,8,4,7080,false
439264,block_io,8,4,5650,false
439351,block_io,8,4,5818,false
439525,block_io,8,4,6253,false
439612,block_io,8,4,5397,false
439699,block_io,8,4,6157,false
439873,block_io,8,4,5825,false
439960,block_io,8,4,4112,true
440134,block_io,8,4,7748,true
440221,block_io,8,4,6150,true
440395,block_io,8,4,5472,true
440482,block_io,8,4,7284,true
440569,block_io,8,4,4742,true
440743,block_io,8,4,6112,true
440830,block_io,8,4,4966,true
441004,block_io,8,5,4347,false
441091,block_io,8,5,7758,false
441178,block_io,8,5,6489,false
441352,block_io,8,5,5178,false
441439,block_io,8,5,5970,false
441526,block_io,8,5,6639,false
441700,block_io,8,5,6452,false
441787,block_io,8,5,6855,false
441961,block_io,8,5,3811,true
442048,block_io,8,5,6589,true
442135,block_io,8,5,5901,true
442309,block_io,8,5,7437,true
442396,block_io,8,5,6545,true
442570,block_io,8,5,5522,true
442657,block_io,8,5,6939,true
442744,block_io,8,5,4519,true
442918,block_io,8,6,4677,false
443005,block_io,8,6,7149,false
443179,block_io,8,6,5549,false
443266,block_io,8,6,5215,false
443353,block_io,8,6,6100,false
443440,block_io,8,6,6364,false
443614,block_io,8,6,7794,false
443701,block_io,8,6,6380,false
443875,block_io,8,6,3811,true
443962,block_io,8,6,7260,true
444136,block_io,8,6,6071,true
444223,block_io,8,6,6269,true
444310,block_io,8,6,6367,true
444484,block_io,8,6,6678,true
444571,block_io,8,6,5807,true
444658,block_io,8,6,5798,true
444832,block_io,8,7,3901,false
444919,block_io,8,7,7435,false
445093,block_io,8,7,6913,false
445267,block_io,8,7,5717,false
445354,block_io,8,7,6349,false
445528,block_io,8,7,7874,false
445615,block_io,8,7,6375,false
445702,block_io,8,7,4688,false
445876,block_io,8,7,4137,true
445963,block_io,8,7,7390,true
446137,block_io,8,7,6796,true
446224,block_io,8,7,6962,true
