victim,input_level,condition,iteration,t_e2e_ms,t_puretime_ms,t_noise_cpu
"float",50000000,"stress",18,11351.478042,4358.557072,6992.92097
"float",50000000,"solo",19,4214.238076,4214.18271,0.055366
"float",50000000,"stress",19,9500.387545,4390.592925,5109.79462
"float",50000000,"solo",20,4132.601408,4132.559348,0.04206
"float",50000000,"stress",20,13585.377468,4424.6383,9160.739168
"face",0,"solo",1,2855.003726,2855.003726,0
"face",0,"stress",1,421.56368,360.993447,60.570233
"face",0,"solo",2,2887.0028,2887.0028,0
"face",0,"stress",2,545.505889,398.126993,147.378896
"face",0,"solo",3,2847.992087,2847.992087,0
"face",0,"stress",3,3934.999345,3934.999345,0
"face",0,"solo",4,2858.002707,2858.002707,0
"face",0,"stress",4,504.429345,343.705028,160.724317
"face",0,"solo",5,2895.997306,2895.997306,0
"face",0,"stress",5,441.353249,356.576287,84.776962
"face",0,"solo",6,2904.002383,2904.002383,0
"face",0,"stress",6,375.543378,315.985901,59.557477
"face",0,"solo",7,2896.002585,2896.002585,0
"face",0,"stress",7,436.61213,355.480415,81.131715
"face",0,"solo",8,2837.995087,2837.995087,0
"face",0,"stress",8,543.353705,357.4346,185.919105
"face",0,"solo",9,2863.000003,2863.000003,0
"face",0,"stress",9,486.308982,348.441876,137.867106
"face",0,"solo",10,2875.011825,2875.011825,0
"face",0,"stress",10,434.396205,333.399431,100.98415
"face",0,"solo",11,2855.002933,2854.972977,0
"face",0,"stress",11,3981.002463,3980.979701,0
"face",0,"solo",12,2875.005149,2874.982386,0
"face",0,"stress",12,451.303337,358.820977,92.456441
"face",0,"solo",13,2870.438651,2870.426499,0
"face",0,"stress",13,431.565866,351.467195,80.098671
"face",0,"solo",14,2883.001911,2882.978207,0
"face",0,"stress",14,499.554435,365.045661,134.497874
"face",0,"solo",15,2857.994203,2857.994203,0
"face",0,"stress",15,511.442299,358.60853,152.833769
"face",0,"solo",16,2889.010908,2889.010908,0
"face",0,"stress",16,545.617313,431.706702,113.910611
"face",0,"solo",17,2876.002422,2876.002422,0
"face",0,"stress",17,584.427172,373.59787,210.829302
"face",0,"solo",18,2857.000071,2857.000071,0
"face",0,"stress",18,506.323853,354.241825,152.082028
"face",0,"solo",19,2879.006753,2879.006753,0
"face",0,"stress",19,511.42291,372.877172,138.545738
"face",0,"solo",20,2862.994076,2862.994076,0
"face",0,"stress",20,439.569516,364.291349,75.278167
"face",1,"solo",1,477.033105,476.976079,0.057026
"face",1,"stress",1,958.414787,503.634278,454.780509
"face",1,"solo",2,467.901189,467.846977,0.054212
"face",1,"stress",2,853.598588,472.044576,381.554012
"face",1,"solo",3,444.097954,444.016065,0.081889
"face",1,"stress",3,892.542269,471.888309,420.65396
"face",1,"solo",4,458.609925,458.570561,0.039364
"face",1,"stress",4,760.568652,458.988494,301.580158
"face",1,"solo",5,438.987369,438.881961,0.105408
"face",1,"stress",5,813.737424,461.56137,352.176054
"face",1,"solo",6,477.585009,477.524857,0.060152
"face",1,"stress",6,648.668911,470.711629,177.957282
"face",1,"solo",7,471.442566,471.390738,0.051828
"face",1,"stress",7,904.494292,524.116757,380.377535
"face",1,"solo",8,457.011889,456.973435,0.038454
"face",1,"stress",8,624.510499,461.618912,162.891587
"face",1,"solo",9,460.503416,460.462448,0.040968
"face",1,"stress",9,969.454059,470.955712,498.498347
"face",1,"solo",10,457.194524,457.148368,0.046156
"face",1,"stress",10,1060.636064,506.62182,554.014244
"face",1,"solo",11,458.03294,457.958822,0.074118
"face",1,"stress",11,591.026126,487.050823,103.975303
"face",1,"solo",12,470.720155,470.65792,0.062235
"face",1,"stress",12,919.462415,449.501311,469.961104
"face",1,"solo",13,465.223307,464.963023,0.260284
"face",1,"stress",13,840.121589,446.09572,394.025869
"face",1,"solo",14,461.119398,461.07332,0.046078
"face",1,"stress",14,923.365223,504.981921,418.383302
"face",1,"solo",15,457.634924,457.372336,0.262588
"face",1,"stress",15,759.593582,466.776262,292.81732
"face",1,"solo",16,455.610544,455.572038,0.038506
"face",1,"stress",16,901.496774,461.948801,439.547973
"face",1,"solo",17,451.227759,451.180609,0.04715
"face",1,"stress",17,780.609007,473.285732,307.323275
"face",1,"solo",18,450.281169,449.808134,0.473035
"face",1,"stress",18,617.45545,468.820798,148.634652
"face",1,"solo",19,459.07542,458.745988,0.329432
"face",1,"stress",19,713.355221,464.716569,248.638652
"face",1,"solo",20,468.657379,468.587585,0.069794
"face",1,"stress",20,966.573213,489.351387,477.221826
"face",5,"solo",1,918.830983,918.771821,0.059162
"face",5,"stress",1,2493.536669,937.548675,1555.987994
"face",5,"solo",2,908.787842,908.742577,0.045265
"face",5,"stress",2,1533.437544,921.341336,612.096208
"face",5,"solo",3,924.535595,924.472263,0.063332
"face",5,"stress",3,2154.458813,996.487081,1157.971732
"face",5,"solo",4,924.777684,924.725455,0.052229
"face",5,"stress",4,2352.266347,937.983053,1414.283294
"face",5,"solo",5,938.89467,938.847422,0.047248
"face",5,"stress",5,2300.535935,988.279537,1312.256398
"face",5,"solo",6,924.638381,924.5995,0.038881
"face",5,"stress",6,1469.571696,918.085274,551.486422
"face",5,"solo",7,893.628285,893.570502,0.057783
"face",5,"stress",7,1883.409304,928.656295,954.753009
"face",5,"solo",8,919.811961,919.720748,0.091213
